MTS,volume,close,high,low,open
2019/6/1 8:00,271634.1869,0.438,0.4795,0.4301,0.4602
2019/6/2 8:00,219429.2923,0.4492,0.4639,0.433,0.4354
2019/6/3 8:00,291365.9495,0.417,0.4498,0.4122,0.4498
2019/6/4 8:00,874118.339,0.3418,0.4167,0.314,0.4167
2019/6/5 8:00,556377.7379,0.3725,0.3823,0.3296,0.3418
2019/6/6 8:00,1428304.695,0.4082,0.4585,0.3692,0.3725
2019/6/7 8:00,403688.1193,0.4274,0.4523,0.4015,0.4079
2019/6/8 8:00,232048.9142,0.408,0.4311,0.4017,0.4294
2019/6/9 8:00,195818.1974,0.3692,0.4089,0.3647,0.4089
2019/6/10 8:00,344261.6174,0.3941,0.3948,0.3566,0.3692
2019/6/11 8:00,282175.1598,0.3774,0.4135,0.3676,0.3882
2019/6/12 8:00,311422.7764,0.3691,0.3843,0.3558,0.3774
2019/6/13 8:00,370270.1331,0.3774,0.3903,0.363,0.3691
2019/6/14 8:00,690199.6889,0.4033,0.4318,0.373,0.378
2019/6/15 8:00,329975.7972,0.394,0.4083,0.382,0.4032
2019/6/16 8:00,633405.0453,0.4174,0.4457,0.3901,0.394
2019/6/17 8:00,633621.2759,0.429,0.4586,0.4174,0.4174
2019/6/18 8:00,298681.5579,0.4091,0.4358,0.4,0.4285
2019/6/19 8:00,339637.994,0.419,0.4416,0.407,0.4119
2019/6/20 8:00,209841.1934,0.4107,0.425,0.4078,0.419
2019/6/21 8:00,291855.2688,0.3963,0.4147,0.3918,0.4147
2019/6/22 8:00,264836.119,0.4081,0.4168,0.3963,0.3972
2019/6/23 8:00,261215.2236,0.407,0.4184,0.4,0.4067
2019/6/24 8:00,224434.1015,0.3968,0.4077,0.3857,0.4065
2019/6/25 8:00,553850.8557,0.4165,0.4355,0.3802,0.3968
2019/6/26 8:00,570918.1289,0.3638,0.4192,0.3595,0.4137
2019/6/27 8:00,509228.2687,0.3332,0.3683,0.3174,0.3638
2019/6/28 8:00,261846.3731,0.3472,0.3521,0.326,0.3323
2019/6/29 8:00,628849.4751,0.3805,0.4285,0.3333,0.3521
2019/6/30 8:00,621343.4632,0.3567,0.4412,0.3567,0.3842
2019/7/1 8:00,282097.9922,0.3563,0.38,0.3357,0.3609
2019/7/2 8:00,200607.5671,0.3468,0.3675,0.3343,0.3583
2019/7/3 8:00,246514.6942,0.3464,0.3676,0.3378,0.3468
2019/7/4 8:00,351686.1442,0.3641,0.3906,0.3464,0.3479
2019/7/5 8:00,952642.1454,0.391,0.4285,0.3624,0.3641
2019/7/6 8:00,394884.5718,0.3691,0.3947,0.36,0.391
2019/7/7 8:00,118657.5858,0.368,0.3804,0.3651,0.3674
2019/7/8 8:00,152036.4446,0.3543,0.3687,0.3502,0.3676
2019/7/9 8:00,232699.778,0.3738,0.3792,0.35,0.3522
2019/7/10 8:00,290418.2571,0.3385,0.3758,0.3314,0.3735
2019/7/11 8:00,400773.9434,0.2876,0.3427,0.2832,0.3396
2019/7/12 8:00,342357.3083,0.3056,0.33,0.2833,0.2876
2019/7/13 8:00,165560.8327,0.2978,0.3142,0.2927,0.3089
2019/7/14 8:00,287888.9228,0.2493,0.3035,0.2489,0.2984
2019/7/15 8:00,330197.8219,0.2529,0.267,0.2289,0.249
2019/7/16 8:00,798910.7023,0.2213,0.2807,0.22,0.2534
2019/7/17 8:00,798910.7023,0.2213,0.2213,0.2213,0.2213
2019/7/18 8:00,798910.7023,0.2213,0.2213,0.2213,0.2213
2019/7/19 8:00,798910.7023,0.2213,0.2213,0.2213,0.2213
2019/7/20 8:00,798910.7023,0.2213,0.2213,0.2213,0.2213
2019/7/21 8:00,798910.7023,0.2213,0.2213,0.2213,0.2213
2019/7/22 8:00,798910.7023,0.2213,0.2213,0.2213,0.2213
2019/7/23 8:00,118853.2503,0.2575,0.2884,0.2575,0.2842
2019/7/24 8:00,108647.9777,0.2658,0.2677,0.2474,0.2577
2019/7/25 8:00,120849.4199,0.2724,0.2975,0.2699,0.2699
2019/7/26 8:00,67015.4293,0.2696,0.2742,0.2567,0.2739
2019/7/27 8:00,43726.95691,0.2602,0.2785,0.2543,0.2696
2019/7/28 8:00,83669.84128,0.2589,0.2652,0.2445,0.2623
2019/7/29 8:00,57106.90814,0.2587,0.2643,0.2528,0.2576
2019/7/30 8:00,82248.10336,0.2564,0.2641,0.2476,0.2571
2019/7/31 8:00,48879.77939,0.2554,0.2575,0.2506,0.2575
2019/8/1 8:00,69758.5432,0.2501,0.2563,0.2434,0.2544
2019/8/2 8:00,59295.48912,0.2574,0.2688,0.2427,0.248
2019/8/3 8:00,52578.30141,0.2646,0.2731,0.255,0.2564
2019/8/4 8:00,25477.06223,0.2596,0.2648,0.252,0.2648
2019/8/5 8:00,56500.85173,0.252,0.2653,0.2505,0.258
2019/8/6 8:00,65857.52312,0.2418,0.2525,0.24,0.2511
2019/8/7 8:00,113385.7892,0.24,0.2471,0.24,0.2419
2019/8/8 8:00,162734.3454,0.234,0.2401,0.2258,0.24
2019/8/9 8:00,98263.72736,0.226,0.2463,0.2224,0.2335
2019/8/10 8:00,218423.8819,0.2169,0.2333,0.2108,0.2274
2019/8/11 8:00,66957.98014,0.2208,0.2232,0.215,0.2176
2019/8/12 8:00,228446.241,0.223,0.2544,0.2168,0.2209
2019/8/13 8:00,136472.4263,0.228,0.2468,0.2235,0.224
2019/8/14 8:00,185553.0042,0.202,0.228,0.1959,0.225
2019/8/15 8:00,100493.0792,0.1979,0.209,0.1801,0.2017
2019/8/16 8:00,78544.78362,0.1929,0.2046,0.1889,0.1974
2019/8/17 8:00,57786.27845,0.1938,0.2036,0.193,0.1952
2019/8/18 8:00,75056.01798,0.1992,0.2026,0.193,0.196
2019/8/19 8:00,121207.8101,0.2059,0.2177,0.1964,0.1986
